threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.2,0.9926666666666667,0.9658914728682171,1.0,0.9826498422712934,4710,44,0,1246
0.3,0.995,0.9764890282131662,1.0,0.9881046788263284,4724,30,0,1246
0.4,0.9958333333333333,0.9833729216152018,0.9967897271268058,0.9900358708648864,4733,21,4,1242
0.5,0.9968333333333333,0.9896249002394254,0.9951845906902087,0.9923969587835134,4741,13,6,1240
0.6,0.9968333333333333,0.9904076738609112,0.9943820224719101,0.9923908690428515,4742,12,7,1239
0.7,0.9973333333333333,0.9951690821256038,0.9919743178170144,0.9935691318327974,4748,6,10,1236
0.8,0.995,0.9959216965742251,0.9799357945425361,0.9878640776699029,4749,5,25,1221
